,BSpace Course Name,BSpace Course Id,QuizName,﻿QuizId,QuizAttemptNumber,QuestionId,Question,QuestionType,InputUserAnswer,Score,NetId,Comment left on User Response,AnswerKey,isQuery,Database,full_score,feedback
2808,"Databases for Business Analytics, Spring'23","251,685",Assignment 3: Joins,"295,367",1,"5,119,720",List the tracks for the album&#160;Second Coming,Long Answer Question,"select T.track_id,T.track_name,A.artist_id,A.album_id,time
from track T  
join album A on T.album_id=A.album_id
where A.album_name=""Second Coming"" and T.artist_id=5;",1.0,hp2307,,"SELECT&#160;T.*
FROM&#160;track&#160;T&#160;
&#160; &#160; &#160;JOIN album A ON A.artist_id = T.artist_id AND A.album_id = T.album_id
WHERE&#160;A.album_name&#160;=&#160;&#39;Second&#160;Coming&#39;",True,music,1.0,
2809,"Databases for Business Analytics, Spring'23","251,685",Assignment 3: Joins,"295,367",1,"5,119,719",List all the album names by the band New Order,Long Answer Question,"select *
from artist as Ar 
join album as Al on Ar.artist_id=Al.artist_id
where Ar.artist_name=""New Order"";",1.0,hp2307,,"SELECT R.artist_name, A.*
FROM&#160;artist&#160;R&#160;JOIN&#160;album&#160;A&#160;ON&#160;A.artist_id&#160;=&#160;R.artist_id
WHERE&#160;R.artist_name&#160;=&#160;&#39;New&#160;Order&#39;",True,music,1.0,
2810,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,680","Find all the tracks that include the word &quot;Love&quot; anywhere in the title. It is fine to include tracks where love is part of a bigger word (e.g., lovebird).",Long Answer Question,"select *
from track
where track_name like '%love%';",1.0,hp2307,,"SELECT&#160;*
FROM&#160;track
WHERE track_name LIKE &#39;%love%&#39;&#160;",True,music,1.0,
2811,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,679","List all the tracts for the artists with ids 1, 3, and 5. Show two variations of the query:&#160; one using the OR Boolean condition and one using the IN operation.",Long Answer Question,"Using OR :-

select *
from track
where artist_id=1 or artist_id=3 or artist_id=5;

Using IN :-

select *
from track
where artist_id in (1,3,5);",1.0,hp2307,,"
SELECT&#160;*
FROM&#160;track
WHERE&#160;artist_id&#160;=&#160;1&#160;OR&#160;artist_id&#160;=&#160;3&#160;OR&#160;artist_id&#160;=&#160;5



SELECT&#160;*
FROM&#160;track
WHERE&#160;artist_id&#160;IN&#160;(1,3,5)


",True,music,1.0,
2812,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,678","Find all albums with a title that begins with a character greater than E (not inclusive of albums that start with E) but less than S (again, not inclusive of albums that start with S).",Long Answer Question,"select *
from album
where album_name not like 'E%' and album_name>'E' and album_name<'S';",1.0,hp2307,,"SELECT&#160;*
FROM&#160;album
WHERE&#160;album_name&#160;&gt;=&#160;&#39;F&#39;&#160;AND&#160;&#160;album_name&#160;&lt;&#160;&#39;S&#39;",True,music,1.0,
2813,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,677",Find the tracks with names that are earlier alphabetically than (is less than) M. Note that inequality queries can be used with text and not only with numbers.,Long Answer Question,"select *
from track
where track_name<'M';",1.0,hp2307,,"SELECT&#160;*
FROM&#160;track
WHERE&#160;track_name&#160;&lt;&#160;&#39;M&#39;",True,music,1.0,
2814,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,676","Find the tracks for the artist with id 3, from the artist&#39;s album with id 2.",Long Answer Question,"select *
from track
where artist_id=3 and album_id=2;",1.0,hp2307,,"
SELECT&#160;*
FROM&#160;track
WHERE&#160;artist_id&#160;=3&#160;and&#160;album_id&#160;=2&#160;
",True,music,1.0,
2815,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,675","Using the id of Rolling Stones from Question C.2, list all the albums of The Rolling Stones.",Long Answer Question,"select *
from album
where artist_id=4;",1.0,hp2307,,"SELECT&#160;*
FROM&#160;album
WHERE&#160;artist_id&#160;=&#160;4",True,music,1.0,
2816,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,674",Show the entry for the artist named The Rolling Stones.,Long Answer Question,"select *
from artist
where artist_name=""The Rolling Stones"";",1.0,hp2307,,"SELECT&#160;*
FROM&#160;artist
WHERE&#160;artist_name&#160;=&#160;&#39;The&#160;Rolling&#160;Stones&#39;",True,music,1.0,
2817,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,673",Show the entry for the artist with id equal to 5.,Long Answer Question,"select *
from artist
where artist_id=5;",1.0,hp2307,,"SELECT&#160;*
FROM&#160;artist
WHERE&#160;artist_id&#160;=&#160;5",True,music,1.0,
2818,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,651",List the ten shortest tracks in terms of playing time.,Long Answer Question,"select *
from track
order by time
limit 10;",1.0,hp2307,,"SELECT&#160;*
FROM&#160;track
ORDER&#160;BY&#160;time
LIMIT&#160;10",True,music,1.0,
2819,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,650","Show all the album names and the corresponding artist id, but do not show the album_id. Rename the album_name attribute to album_title.",Long Answer Question,"select artist_id,album_name as album_title
from album;",1.0,hp2307,,"SELECT&#160;artist_id,&#160;album_name&#160;AS&#160;album_title
FROM&#160;album",True,music,1.0,
2820,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,649","List all the names of the artists, without the artist ids, sorted alphabetically.",Long Answer Question," select artist_name 
 from artist
 order by artist_name;",1.0,hp2307,,"SELECT&#160;artist_name
FROM&#160;artist
ORDER&#160;BY&#160;artist_name",True,music,1.0,
2821,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,648",Show all the tracks.,Long Answer Question,select * from track;,1.0,hp2307,,"SELECT&#160;*&#160;
FROM&#160;track",True,music,1.0,
2822,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,647",Show all the albums.,Long Answer Question,select * from album;,1.0,hp2307,,"SELECT&#160;*&#160;
FROM&#160;album",True,music,1.0,
2823,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,646","Show all the artists.

Show all the albums.
Show all the tracks.
List all the names of the artists, without the artist ids, sorted alphabetically.
Show all the album names and the corresponding artist id, but do not show the album_id. Rename the album_name attribute to album_title.
List the ten shortest tracks in terms of playing time.
",Long Answer Question,select * from artist;,1.0,hp2307,,"SELECT&#160;*&#160;
FROM&#160;artist",True,music,1.0,
2842,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,729","Hard question. Requires use of subqueries and CASE WHEN.
We want to create groups of customers based on their total amount spent after discounts, in 2016. We will create three groups:

Low, for customers spending between 0 and 1000
Medium, for customers spending between 1000 and 5000,
High, for customers spending above 5000

The output should list the CustomerID, the CompanyName, the total amount spent before discounts, the total discount applied, and the grouping
You will need to use the results from the question &quot;Total amount spent per customer in 2016&quot; as a subquery, and then use the CASE WHEN structure to define the three groups. Do not worry about edge cases for the three groups (ie for amounts spent equal to 1000 and 5000).",Long Answer Question,"with ca as (
select c.CustomerID, c.CompanyName
,sum(od.Quantity * od.UnitPrice) as total_order_price
,sum(od.Quantity * od.UnitPrice * od.Discount) as total_discount
from Customers c left join Orders o on c.CustomerID = o.CustomerID and year(o.OrderDate) = 2016
left join OrderDetails od on o.OrderID = od.OrderID
group by c.CustomerID)
select *,
case
when total_after_discount > 0 and total_after_discount < 1000 then 'Low'
when total_after_discount >= 1000 and total_after_discount < 5000 then 'Medium'
when total_after_discount >= 5000 then 'High'
end as customer_group
from (select * , total_order_price - total_discount as total_after_discount from ca) x;",10.0,sv2230,,"WITH total_spent AS (
SELECT C.CustomerID, C.CompanyName
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice ),0) AS total_price
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice * D.Discount ),0) AS total_discount
FROM&#160;
&#160; &#160; Customers C&#160;
&#160; &#160; LEFT JOIN Orders O ON C.CustomerID = O.CustomerID AND YEAR(O.OrderDate) = 2016
&#160; &#160; LEFT JOIN OrderDetails D ON O.OrderID = D.OrderID &#160;
GROUP BY C.CustomerID
)
SELECT T.*,&#160;
&#160; &#160; CASE&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 0 AND 1000 THEN &#39;Low&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 1000 AND 5000 THEN &#39;Medium&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount &gt;= 5000 THEN &#39;High&#39;&#160;
&#160; &#160; END AS TargetGroup
FROM total_spent T
ORDER BY T.total_price-T.total_discount",True,"['northwind', 'flights']",10.0,
2843,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,714","For each customer, we want to calculate how much they spent within 2016.
Show the:

CustomerID and CompanyName for each customer
The total price for their orders, ignoring the discount (use Quantity and UnitPrice fields in the OrderDetails table; the amount paid for each product is Quantity * UnitPrice. )&#160;
the total discount applied to the order (consider the Discount field in the OrderDetails table, together with Quantity and UnitPrice fields; the applied discount is Quantity * UnitPrice * Discount)

Limit the analysis only to orders placed in 2016.
Order the results by CustomerID.
",Long Answer Question,"select c.CustomerID, c.CompanyName
,sum(od.Quantity * od.UnitPrice) as total_order_price
,sum(od.Quantity * od.UnitPrice * od.Discount) as total_discount
from Customers c left join Orders o on c.CustomerID = o.CustomerID and year(o.OrderDate) = 2016
left join OrderDetails od on o.OrderID = od.OrderID
group by c.CustomerID
order by c.CustomerID;",10.0,sv2230,,"SELECT C.CustomerID, C.CompanyName
    , COALESCE(SUM(D.Quantity * D.UnitPrice ),0) AS total_price
    , COALESCE(SUM(D.Quantity * D.UnitPrice * D.Discount ),0) AS total_discount
FROM 
    Customers C 
    LEFT JOIN Orders O ON C.CustomerID = O.CustomerID AND YEAR(O.OrderDate) = 2016
    LEFT JOIN OrderDetails D ON O.OrderID = D.OrderID  
GROUP BY C.CustomerID
There is no need for the COALESCE part to get full credit.",True,"['northwind', 'flights']",10.0,
2844,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,713","For each order, show the customerID who placed the order, and list the number of products in the order, the total units in the order (each order may contain multiple units of a product as reported in the &quot;Quantity&quot; field or OrderDetails), and the total order price for all the products (using the Quantity and UnitPrice fields in the OrderDetails table; ignore the Discount field).&#160;
Sort the results by decreasing total price and display only orders where the total price is above 10,000.",Long Answer Question,"select o.OrderID, o.CustomerID
,count(*) as no_of_products, sum(od.Quantity) as total_units
,sum(od.Quantity * od.UnitPrice) as total_order_price
from Orders o join OrderDetails od on o.OrderID = od.OrderID
group by o.OrderID
having total_order_price > 10000
order by total_order_price desc;",7.5,sv2230,,"SELECT O.OrderID, O.CustomerID
&#160; &#160; , SUM(D.Quantity * D.UnitPrice) AS total_price
&#160; &#160; , COUNT(DISTINCT D.ProductID) AS num_products
&#160; &#160; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC",True,"['northwind', 'flights']",10.0,
2845,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,711","We want to identify the ship countries with the highest average freight charges. Return the top-three ship countries with the highest average freight overall, in descending order by average freight. You only need the Orders table.",Long Answer Question,"select ShipCountry, round(avg(Freight),2) as average
from Orders
group by ShipCountry
order by average desc
limit 3;",7.5,sv2230,,"SELECT ShipCountry, ROUND(AVG(Freight),2) AS AvgFreight
FROM &#160;Orders
GROUP BY ShipCountry
ORDER BY AvgFreight DESC
LIMIT 3",True,"['northwind', 'flights']",7.5,
2846,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,710",For every customer in the database list the number of orders they have placed.,Long Answer Question,"select c.CustomerID, count(*) as cnt
from Customers c left join Orders o on o.CustomerID = c.CustomerID
group by c.CustomerID;",7.5,sv2230,,"SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&#160; &#160; &#160; &#160; &#160; &#160; LEFT JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID&#160;",True,"['northwind', 'flights']",10.0,
2847,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,708","We would like to know, for each product, the associated Supplier. Show the ProductID, ProductName, and the CompanyName of the Supplier. Sort the results by ProductID.",Long Answer Question,"select p.ProductID, p.ProductName, s.CompanyName
from Products p join Suppliers s on p.SupplierID = s.SupplierID
order by p.ProductID;",5.0,sv2230,,"SELECT P.ProductID, P.ProductName, S.CompanyName
FROM Products P JOIN Suppliers S ON P.SupplierID = S.SupplierID
ORDER BY P.ProductID",True,"['northwind', 'flights']",7.5,
2848,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,707","From the Products table, we want to see the ProductID and ProductName for those products where the ProductName includes the string &quot;queso&quot;",Long Answer Question,"select ProductID, ProductName
from Products
where ProductName like '%queso%';",5.0,sv2230,,"SELECT ProductID, ProductName
FROM Products&#160;
WHERE ProductName LIKE &#39;%queso%&#39;",True,"['northwind', 'flights']",5.0,
2849,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,706","We would like to see just the FirstName, LastName, and HireDate of all the employees with the title of Sales Representative who are also in the United States",Long Answer Question,"select FirstName, LastName, HireDate
from Employees
where Country = 'USA' and Title = 'Sales Representative';",5.0,sv2230,,"SELECT FirstName, LastName, HireDate
FROM Employees&#160;
WHERE Title = &#39;Sales Representative&#39; AND Country = &#39;USA&#39;",True,"['northwind', 'flights']",5.0,
2850,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,956,678","Using the flights.m_ticket_prices and the m_airports table, find the distinct routes (route is a distinct origin-destination pair) where the origin and the destination are part of the same state; in the output show the origin, dest, and the state of the airports.",Long Answer Question,"select *
from m_ticket_prices mp join m_airports ma on mp.origin = ma.airport;",2.0,sv2230,,"SELECT DISTINCT T.origin, T.dest, O.state
FROM flights.m_ticket_prices T
&#160; &#160; JOIN m_airports O ON O.airport = T.origin
&#160; &#160; JOIN m_airports D ON D.airport = T.dest
WHERE O.state_name=D.state_name
ORDER BY O.state",True,"['northwind', 'flights']",7.5,
2851,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,956,293","Flights: For each state of the origin airport, calculate the following metrics: the number of origin airports in the state, the number of carriers operating flights that originate from the state, the total number of passengers originating from the state, and the average fare per mile. Use the m_ticket_prices and the m_airports tables to find the information that you need.&#160;
Hint: 52 rows",Long Answer Question,"select ma.state
,count(distinct mp.origin) as no_of_origin_aiports_in_state
,count(mp.carrier) as no_of_carrier
,sum(mp.passengers) as total_passengers
,avg(fare_per_mile) as avg_fare_per_mile
from m_ticket_prices mp join m_airports ma on mp.origin = ma.airport
group by ma.state;",7.0,sv2230,,"SELECT state
&#160; &#160; , COUNT(DISTINCT T.origin) AS airports
&#160; &#160; , COUNT(DISTINCT T.carrier) AS carriers
&#160; &#160; , SUM(T.passengers) AS passengers
&#160; &#160; , AVG(fare_per_mile) AS avg_fare_per_mile
FROM m_airports A JOIN m_ticket_prices T ON A.airport = T.origin
GROUP BY A.state",True,"['northwind', 'flights']",7.5,
2852,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,956,290","Flights: Using the table flights.m_ticket_prices, for each carrier, report the number of routes they maintain, the number of airports their flights leave from, and their average fare per mile. Report results only for carriers having more than 20,000 passengers across all their flights.
Hint: 11 rows in the outcome",Long Answer Question,"select carrier
,count(*) as no_of_routes
, count(distinct origin) as no_of_airports
,avg(fare_per_mile) as avg_fare_per_mile
from m_ticket_prices
group by carrier
having sum(passengers) > 20000;",10.0,sv2230,,"SELECT carrier, COUNT(*) AS routes, COUNT(DISTINCT origin) AS origins, AVG(fare_per_mile) AS avg_fare_per_mile
FROM m_ticket_prices
GROUP BY carrier
HAVING SUM(passengers)&gt;20000;",True,"['northwind', 'flights']",10.0,
2863,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,338,658","Use the table flights.m_ticket_prices. For each route (origin-destination pair), list the following statistics:

cheapest fare
most expensive fare
the average fare
number of carriers serving the route
total number of passengers for the route

Report results only for routes with at least 3 carriers and more than&#160; 10,000 total passengers.&#160;",Long Answer Question,"select origin,dest
, min(fare) as cheapest_fare
, max(fare) as max_fare
, avg(fare) as avg_fare
, count(carrier) as no_of_carrier
, sum(passengers) as total_passengers
from m_ticket_prices
group by origin, dest
having no_of_carrier >= 3 and total_passengers > 10000;",7.5,sv2230,,"SELECT origin, dest
&#160; &#160; , MIN(fare) AS cheapest_fare
&#160; &#160; , MAX(fare) AS max_fare
&#160; &#160; , AVG(fare) AS avg_fare
&#160; &#160; , COUNT(DISTINCT carrier) AS carriers
&#160; &#160; , SUM(passengers) AS passengers
FROM flights.m_ticket_prices
GROUP BY origin, dest
HAVING COUNT(*) &gt;= 3 &#160;AND passengers &gt; 10000
ORDER BY origin, dest;",True,"['northwind', 'flights']",7.5,
2864,"Databases for Business Analytics, Spring'23","251,685",Assignment 6: Window queries,"295,541",1,"5,168,443","Using the passengers_per_airport table from the previous question, calculate each airport&#39;s national rank&#160;and&#160;state rank&#160;in terms of departing passengers. The m_airports table contains the state of each airport. (Note: The number 1 airport nationally will have the most passengers nationwide, while the number 1 per state will have the most passengers within the state.)",Long Answer Question,"select * , rank() over w_n as national_rank, rank() over w_s as state_rank
from (select * from passengers_per_airport ppa join m_airports a on ppa.origin = a.airport) x
window w_n as (order by x.total_passengers desc),
w_s as (partition by x.state order by x.total_passengers desc)
order by x.origin;",4.0,sv2230,,"SELECT origin, State, total_passengers
&#160; &#160; , RANK() OVER (ORDER BY total_passengers DESC) AS national_rank
&#160; &#160; , RANK() OVER (PARTITION BY State ORDER BY total_passengers DESC) AS state_rank
FROM passengers_per_airport P
&#160; &#160; JOIN m_airports A ON P.origin = A.airport
ORDER BY national_rank&#160;",True,flights,4.0,
2865,"Databases for Business Analytics, Spring'23","251,685",Assignment 6: Window queries,"295,541",1,"5,168,442","Create the passengers_per_airport temporary table, which contains&#160; the total number of passengers departing from each airport.&#160; Use the m_ticket_prices table; we are interested in the origin and the passengers attributes.",Long Answer Question,"create temporary table passengers_per_airport as
select origin, sum(passengers) as total_passengers
from m_ticket_prices
group by origin
order by origin;",1.0,sv2230,,"DROP TABLE IF EXISTS passengers_per_airport;

CREATE TEMPORARY TABLE passengers_per_airport AS
SELECT origin, SUM(passengers) AS total_passengers
FROM m_ticket_prices
GROUP BY origin;",True,flights,1.0,
2866,"Databases for Business Analytics, Spring'23","251,685",Assignment 6: Window queries,"295,541",1,"5,168,441","Using the SingUpsAsOf and InactiveAsOf, calculate the total_active users for each date. We define total active users as the total signups up to that date, minus the total users that have been inactive up to that date.",Long Answer Question,"select *, x.sign_rolling_sum - x.inactive_rolling_sum as total_active
from (select * 
from SignUpsAsOf s 
join InactiveAsOf i on s.sign_date = i.inactive_date 
order by s.sign_date) x
order by x.sign_date;",4.0,sv2230,,"WITH&#160;
SingUpsAsOf AS (
&#160; &#160; SELECT MemberSince
&#160; &#160; &#160; &#160; , SUM(cnt) OVER (ORDER BY MemberSince) AS total_signups
&#160; &#160; FROM SignUpsOn
),
InactiveAsOf AS (
&#160; &#160; SELECT LastUpdate
&#160; &#160; &#160; &#160; , SUM(cnt) OVER (ORDER BY LastUpdate) AS total_inactive
&#160; &#160; FROM InactiveOn&#160;
)

SELECT MemberSince
&#160; &#160; &#160; &#160; , total_signups
&#160; &#160; &#160; &#160; , total_inactive
&#160; &#160; &#160; &#160; , total_signups-total_inactive AS total_active
FROM SingUpsAsOf S&#160;
&#160; &#160; JOIN InactiveAsOf A ON S.MemberSince=A.LastUpdate",True,flights,4.0,
2867,"Databases for Business Analytics, Spring'23","251,685",Assignment 6: Window queries,"295,541",1,"5,168,440","InactiveAsOf: Using the InactiveOn&#160;table, calculate the total number of users who are inactive as of a given date (again,&#160; up to each date in the MemberSince. Use a SUM() function together with a window specification.",Long Answer Question,"create temporary table InactiveAsOf as 
select *, sum(i_cnt) over w as inactive_rolling_sum
from InactiveOn
window w as (order by inactive_date);",2.0,sv2230,,"&#160; &#160; SELECT LastUpdate
&#160; &#160; &#160; &#160; , SUM(cnt) OVER (ORDER BY LastUpdate) AS total_inactive
&#160; &#160; FROM InactiveOn&#160;",True,flights,2.0,
2868,"Databases for Business Analytics, Spring'23","251,685",Assignment 6: Window queries,"295,541",1,"5,168,439","SingUpsAsOf: Using the SignUpsOn table, calculate the total number of users signed up for Facebook up to each date listed in the MemberSince column. (In other words, calculate the cumulative sum of users from the SignUpsOn table.) Use a SUM() function together with a window specification.",Long Answer Question,"create temporary table SignUpsAsOf as
select *, sum(s_cnt) over w as sign_rolling_sum
from SignUpsOn
window w as (order by sign_date);",2.0,sv2230,,"&#160; &#160; SELECT MemberSince
&#160; &#160; &#160; &#160; , SUM(cnt) OVER (ORDER BY MemberSince) AS total_signups
&#160; &#160; FROM SignUpsOn",True,flights,2.0,
2869,"Databases for Business Analytics, Spring'23","251,685",Assignment 6: Window queries,"295,541",1,"5,168,438","Setup: Create a temporary table InactiveOn, that shows the number of people that became inactive that day (using the LastUpdate attribute)",Long Answer Question,"create temporary table InactiveOn as
select date(LastUpdate) as inactive_date, count(*) as i_cnt
from Profiles
group by date(LastUpdate)
order by date(LastUpdate);",1.0,sv2230,,"DROP TABLE IF EXISTS InactiveOn ;
CREATE TEMPORARY TABLE InactiveOn&#160; AS
SELECT LastUpdate, COUNT(*) AS cnt
FROM Profiles
WHERE LastUpdate IS NOT NULL
GROUP BY LastUpdate;",True,flights,1.0,
2870,"Databases for Business Analytics, Spring'23","251,685",Assignment 6: Window queries,"295,541",1,"5,168,437","Setup: Create a&#160;temporary table SignUpsOn, that shows the number of people that signed up on that day (using the MemberSince attribute)",Long Answer Question,"create temporary table SignUpsOn as
select date(MemberSince) as sign_date, count(*) as s_cnt
from Profiles
group by date(MemberSince)
order by date(MemberSince);",1.0,sv2230,,"DROP TABLE IF EXISTS SignUpsOn;
CREATE TEMPORARY TABLE SignUpsOnAS
SELECT MemberSince, COUNT(*) AS cnt
FROM Profiles
GROUP BY MemberSince;",True,flights,1.0,
2871,"Databases for Business Analytics, Spring'23","251,685",Assignment 5: Subqueries,"295,406",1,"5,119,793","For eligible names that appear for both males and females, report the names and the frequencies for males and females. Rank the most ambiguous names on top. We consider as most ambiguous names the ones where the formula log( male_freq / female_freq ) is close to 0. Remember that the log can be positive and negative; ranking by absolute value (using the&#160;ABS() function) will allow you to rank the smallest numbers first.",Long Answer Question,"create temporary table male_count as
select first_name, count(*) as cnt
from male_names
where first_name in (select first_name from eligible_names)
group by first_name;

create temporary table female_count as
select first_name, count(*) as cnt
from female_names
where first_name in (select first_name from eligible_names)
group by first_name;

create temporary table common_names as
select distinct *
from male_names
where first_name in (select distinct * from female_names) and first_name in (select first_name from eligible_names);

select *, log(X.male_freq/X.female_freq) 
from (
select cn.first_name,
case when true then (select mc.cnt from male_count mc where mc.first_name=cn.first_name) end as male_freq,
case when true then (select fc.cnt from female_count fc where fc.first_name=cn.first_name) end as female_freq
from common_names cn ) X
order by abs(log(X.male_freq/X.female_freq));",2.0,sv2230,,"SELECT M.first_name
&#160; &#160; &#160; &#160; , M.cnt AS male_cnt
&#160; &#160; &#160; &#160; , F.cnt AS female_cnt
&#160; &#160; &#160; &#160; , M.cnt/F.cnt AS ratio
&#160; &#160; &#160; &#160; , LOG10(M.cnt/F.cnt) AS log_odds
FROM male_names M&#160;
&#160; &#160; JOIN female_names F ON F.first_name = M.first_name
ORDER BY ABS(log_odds)",True,imdb,2.0,
2872,"Databases for Business Analytics, Spring'23","251,685",Assignment 5: Subqueries,"295,406",1,"5,119,791","Find the eligible names that appear only for female actors but for no male actresses, and report the corresponding frequencies.",Long Answer Question,"select *
from eligible_names
where first_name in (select * from female_only)
order by cnt desc;",1.0,sv2230,,"
DROP TABLE IF EXISTS male_names;&#160;
CREATE TEMPORARY TABLE male_names AS
&#160; &#160; SELECT first_name, COUNT(*) AS cnt
&#160; &#160; FROM actors
&#160; &#160; WHERE first_name IN (SELECT first_name FROM eligible_names)
&#160; &#160; &#160; &#160; AND gender = &#39;M&#39;&#160;
&#160; &#160; GROUP BY first_name
&#160; &#160; ORDER BY cnt DESC;



DROP TABLE IF EXISTS female_names;&#160;
CREATE TEMPORARY TABLE female_names AS
&#160; &#160; SELECT first_name, COUNT(*) AS cnt
&#160; &#160; FROM actors
&#160; &#160; WHERE first_name IN (SELECT first_name FROM eligible_names)
&#160; &#160; &#160; &#160; AND gender = &#39;F&#39;&#160;
&#160; &#160; GROUP BY first_name",True,imdb,1.0,
2873,"Databases for Business Analytics, Spring'23","251,685",Assignment 5: Subqueries,"295,406",1,"5,119,790","Find the eligible names that appear only for male actors but for no female actresses, and report the corresponding frequencies.",Long Answer Question,"create temporary table female_names as
select first_name
from actors
where gender = 'F';

create temporary table male_names as
select first_name
from actors
where gender = 'M';

create temporary table female_only as
select *
from female_names
where first_name not in (select * from male_names);

create temporary table male_only as
select *
from male_names
where first_name not in (select * from female_names);

select *
from eligible_names
where first_name in (select * from male_only)
order by cnt desc;",1.0,sv2230,,"DROP TABLE IF EXISTS male_names;&#160;
CREATE TEMPORARY TABLE male_names AS
&#160; &#160; SELECT first_name, COUNT(*) AS cnt
&#160; &#160; FROM actors
&#160; &#160; WHERE first_name IN (SELECT first_name FROM eligible_names)
&#160; &#160; &#160; &#160; AND gender = &#39;M&#39;&#160;
&#160; &#160; GROUP BY first_name
&#160; &#160; ORDER BY cnt DESC;
DROP TABLE IF EXISTS female_names;&#160;
CREATE TEMPORARY TABLE female_names AS
&#160; &#160; SELECT first_name, COUNT(*) AS cnt
&#160; &#160; FROM actors
&#160; &#160; WHERE first_name IN (SELECT first_name FROM eligible_names)
&#160; &#160; &#160; &#160; AND gender = &#39;F&#39;&#160;
&#160; &#160; GROUP BY first_name
&#160; &#160; ORDER BY cnt DESC;

<code",True,imdb,1.0,
2874,"Databases for Business Analytics, Spring'23","251,685",Assignment 5: Subqueries,"295,406",1,"5,119,787","As a first step, limit your analysis only to first names that do not include a dot &quot;.&quot; or parentheses (i.e, ignore &quot;A.&quot;, &quot;J.B.&quot;, &quot;Alfred (I)&quot; etc); also only consider first names that appear at least 50 times in the actors table (across both genders). Create a temporary table with the results, called &quot;eligible_names&quot;. (You will use the table in later questions)",Long Answer Question,"create temporary table eligible_names as
select first_name, count(*) as cnt
from actors
where first_name not in ( select first_name from actors where first_name like '%.%' or first_name like '%(%' or first_name like '%)%')
group by first_name
having count(*) >= 50;",1.0,sv2230,,"DROP TABLE IF EXISTS eligible_names;&#160;
CREATE TEMPORARY TABLE eligible_names AS
&#160; &#160; SELECT first_name, COUNT(*) AS cnt
&#160; &#160; FROM actors
&#160; &#160; WHERE first_name NOT LIKE &#39;%.%&#39;&#160;
&#160; &#160; &#160; &#160; AND first_name NOT LIKE &#39;%(%&#39;
&#160; &#160; &#160; &#160; AND first_name NOT LIKE &#39;%)%&#39;
&#160; &#160; GROUP BY first_name
&#160; &#160; HAVING cnt &gt;= 50
&#160; &#160; ORDER BY cnt DESC;",True,imdb,2.0,
